#{"t_start": 1607337599.7377625, "env_id": null}
r,l,t
-34150.872658,1001,1.756319
-56587.461588,1001,2.772957
-7214.086079,1001,3.771464
-5383.959854,1001,4.748771
-7752.146649,1001,5.743193
-48226.751022,1001,6.711486
-41661.342918,1001,7.692063
-32661.631646,1001,8.705534
-22800.894711,1001,9.65663
-20659.839839,1001,10.63421
-14027.826602,1001,11.655604
-10772.598288,1001,12.642948
-43297.627369,1001,13.66266
-15599.782804,1001,14.646813
-9019.822945,1001,15.624146
-6670.712836,1001,16.614033
-4524.295731,1001,17.558457
-7415.095584,1001,18.537683
-10541.623183,1001,19.540194
-11266.560221,1001,20.581933
-12703.311303,1001,21.64
-12450.000291,1001,22.729142
-8874.491709,1001,23.729886
-11582.315207,1001,24.708277
-5630.347737,1001,25.721688
-14833.518448,1001,26.722248
-6062.086221,1001,27.775012
-12501.689369,1001,28.74355
-6836.149492,1001,29.777225
-18814.856556,1001,30.812402
-4319.405122,1001,31.811375
-4602.832947,1001,32.857099
-6308.300639,1001,33.887318
-6655.239471,1001,34.889109
-4731.783243,1001,35.910481
-4616.810226,1001,36.891197
-9575.541084,1001,37.885339
-4379.927049,1001,38.894532
-5041.269372,1001,39.836881
-6866.997493,1001,40.84945
-4928.615334,1001,41.856869
-4818.534706,1001,42.869729
-6273.08918,1001,43.860166
-4099.870622,1001,44.860918
-4250.527052,1001,45.827884
-3904.353521,1001,46.85957
-4878.892568,1001,47.852433
-6222.738107,1001,48.859952
-8278.512775,1001,49.865271
-6564.494726,1001,50.895178
-3333.224672,1001,51.867842
-14440.404323,1001,52.895647
-6013.744036,1001,53.889744
-10001.054022,1001,54.862383
-6753.033425,1001,55.85133
-4227.303513,1001,56.803835
-5393.292728,1001,57.851506
-4832.069476,1001,58.856988
-13937.360239,1001,59.853292
-9522.561389,1001,60.863468
-10059.161809,1001,61.883544
-14206.229488,1001,62.81791
-5215.724242,1001,63.800255
-5220.934584,1001,64.800153
-3736.436572,1001,65.815329
-4578.123367,1001,66.817675
-5343.155875,1001,67.755776
-7176.510825,1001,68.76884
-9056.200972,1001,69.808594
-5020.648355,1001,70.858497
-4069.784711,1001,71.883878
-3431.507089,1001,72.861326
-4367.026074,1001,73.802275
-5104.627385,1001,74.777692
-4746.610722,1001,75.765404
-5631.043289,1001,76.77072
-4760.033927,1001,77.760023
-3438.406638,1001,78.754805
-3692.130909,1001,79.76192
-3540.279193,1001,80.786133
-4488.364754,1001,81.793658
-6225.897251,1001,82.794127
-3182.587584,1001,83.815839
-3375.715104,1001,84.795712
-4727.596888,1001,85.823964
-3811.346557,1001,86.831703
-4464.488538,1001,87.866581
-3069.412977,1001,88.895732
-5479.984722,1001,89.905706
-585.741514,396,90.28812
415.816923,129,90.417663
-4949.432263,1001,91.406143
-4146.804122,1001,92.413642
-4775.060673,814,93.234655
-3445.73886,1001,94.210529
-4.272634,825,95.039333
-4393.532713,1001,96.035876
242.123118,498,96.53226
-6416.674542,1001,97.492313
-3373.097106,1001,98.488042
-1083.634867,551,99.069864
-20.390285,523,99.568217
-5280.151675,1001,100.534186
-4856.149819,1001,101.550017
-6421.125307,1001,102.624373
-3919.40252,1001,103.657055
663.951045,644,104.296615
-24122.411466,1001,105.277241
-4426.96857,1001,106.269943
-5194.838106,1001,107.252465
-3058.671347,1001,108.229271
-3196.514794,1001,109.242227
-3496.60377,654,109.909244
-10446.660001,1001,110.915006
-3241.642134,1001,111.950575
-10552.818123,1001,112.978698
-3151.155232,1001,113.935946
-20326.097945,1001,114.944647
-16.285458,511,115.451059
-2429.437052,929,116.368186
-12541.476238,1001,117.373356
-4495.281135,1001,118.392291
-3483.281458,1000,119.394421
313.533557,892,120.316588
-17291.30814,1001,121.303479
-3776.875866,1001,122.285228
-1971.048776,774,123.031654
-12896.046313,1001,124.031089
292.768812,517,124.582923
-7168.744763,1001,125.596771
-2.560967,977,126.576838
-5046.577825,730,127.306144
-10443.780176,1001,128.261769
-4496.592818,1001,129.264046
517.786378,466,129.732392
698.275489,481,130.250374
-12982.404719,1001,131.217729
-5035.721149,1001,132.233742
-6441.123704,1001,133.240678
-325.854094,337,133.58383
-4625.412742,1001,134.595857
-3337.783523,1001,135.538397
-3030.790974,1001,136.544216
-4467.981907,806,137.419716
-9405.433996,1001,138.378056
24.356464,673,139.080094
-1062.771671,743,139.786007
-3734.230759,1001,140.820843
186.49238,355,141.209436
-3547.021828,1001,142.19079
-5025.497398,1001,143.228134
-5782.30488,740,143.949334
-4845.274031,1001,144.974139
-693.139695,534,145.471132
-14159.092659,1001,146.514745
-3150.097846,1001,147.527978
-3773.791474,1001,148.562047
-3320.886785,1001,149.570905
-4807.22579,632,150.222731
787.159657,176,150.386163
-11792.428671,1001,151.396019
-4524.85889,695,152.064747
-5376.77307,1001,153.071399
-7804.443153,1001,154.058403
484.986643,409,154.431574
430.139998,255,154.680885
-17132.26402,1001,155.679138
-3991.834295,1001,156.638071
909.883484,185,156.814499
-15033.909447,893,157.693137
272.556161,667,158.363953
-4654.863762,1001,159.336894
846.505633,141,159.470586
-4234.610999,1001,160.456239
-866.88489,429,160.860405
-1023.422343,930,161.797181
-30669.806025,1001,162.793552
-469.676225,603,163.36779
770.599665,262,163.632265
-1612.628759,709,164.331244
-3185.704832,1001,165.369082
-18075.370269,1001,166.34276
-627.353777,426,166.80124
-203.594981,820,167.60615
-25345.620419,1001,168.555189
603.898027,484,169.065436
-946.040315,981,170.044737
-3831.354147,1001,171.017595
-3433.572463,1001,171.993246
818.159446,613,172.617408
-2275.636071,492,173.106766
-3886.743606,769,173.880544
-4004.097716,1001,174.86681
-3674.675908,706,175.520329
-297.597728,275,175.804204
-3732.777161,1001,176.788922
847.798181,110,176.912097
-3536.232619,1001,177.922887
-15930.945101,1001,178.939398
-13615.601404,984,179.922966
586.95133,256,180.221209
-3447.87963,1001,181.193411
-11803.832081,955,182.147696
-3314.937841,1001,183.092944
-4129.681724,932,184.029502
322.823853,443,184.455966
-3791.696557,1001,185.4678
44.488796,192,185.65399
638.505517,969,186.633738
-15756.867663,1001,187.612078
-15047.287991,1001,188.593912
-13504.01492,1001,189.568719
-19524.577375,1001,190.535957
482.395195,558,191.09959
971.144854,53,191.138254
-12064.023577,1001,192.141416
965.388052,375,192.526089
-3160.211672,1001,193.494821
701.079354,498,193.974808
824.114363,720,194.674369
