#{"t_start": 1606266109.279531, "env_id": null}
r,l,t
-86749.091484,1564,2.774055
-89035.472765,1632,4.800223
-68850.41306,1649,6.800622
-78224.918151,1961,9.236783
-40718.780537,1632,11.288881
-28616.306929,1654,13.296521
-18959.385342,1892,15.650504
-78537.324503,1955,18.056221
-18162.358303,2130,20.69043
-131446.393228,2301,23.628961
-3564.216892,750,24.598538
-293.775138,237,24.903782
-25036.276795,1738,27.083316
-25331.397006,1911,29.480901
-38059.553701,1696,31.591798
-67001.980337,2391,34.610515
-35115.688119,1803,36.856914
-79672.734172,2184,39.40556
-87457.398876,2099,42.006528
-16841.031394,1680,44.058735
-25060.350442,1949,46.472534
-50555.450069,1626,48.530838
-92133.921223,1713,50.640924
-93109.883123,1702,52.772933
-20820.605235,1918,55.229491
-71435.501813,1870,57.538981
-76256.932038,1656,59.633402
-128137.191243,1914,62.00281
-37842.677064,1440,63.808316
-7503.121973,1968,66.303634
-9309.76639,945,67.505841
-9623.859495,1734,69.637381
-42323.729462,5019,75.927253
-22666.676483,4370,81.374112
-53451.561372,2308,84.040862
-4019.54998,1715,86.105295
-451.453483,404,86.604953
-2101.206333,566,87.261364
-40342.207262,2921,90.741652
-2272.659729,246,91.032966
-11431.824719,2480,93.877592
-265.375405,423,94.324675
-29903.293048,3844,98.938113
-12205.548968,1705,101.096066
-12306.446684,2771,104.411205
-1815.207079,687,105.21964
-16731.226259,3361,108.753964
-4696.828038,1400,110.250545
-3852.966089,1536,112.035209
-6248.033049,1322,113.583233
-12960.433338,1754,115.509248
-1975.991949,881,116.66797
-4081.719465,1182,118.527997
-14250.76101,1906,121.068232
-14344.701352,2219,123.667425
-1393.449097,536,124.282789
-4315.258658,326,124.685872
-33296.676177,3798,129.223491
-15614.485692,1688,131.355413
-5806.654096,1628,133.426003
-68837.068939,5373,140.033801
-34883.3538,4022,145.023197
-10562.294906,1282,146.607839
-24458.384021,2231,149.348541
-43512.207466,2149,151.977774
-30224.266337,1695,154.064555
-22597.849061,1978,156.513366
-16121.583879,2476,159.574264
-16841.690403,1124,160.97236
-13234.643397,1224,162.470087
-31454.239219,4415,167.959989
57.135623,77,168.063401
-3709.822118,1956,170.356183
-2003.881956,189,170.562018
-3010.561155,1474,172.154375
-789.687425,300,172.503114
-2166.383636,652,173.2183
-4938.762436,1014,174.371806
100.0,1,174.375241
53.290391,121,174.525573
-7498.467157,537,175.105986
-31.906081,221,175.340182
-1614.06652,611,176.002743
-6022.286927,962,177.095276
-11226.511844,1470,178.794591
-16465.754396,1366,180.341763
-3328.007298,241,180.612557
-23867.49321,3464,184.531886
-41325.851378,1388,186.089025
-22396.379529,1711,188.157592
-23913.382072,1217,189.625886
-32701.878017,1310,191.0474
-7768.320626,1137,192.296854
-44684.67713,2126,194.665187
-9330.021741,1523,196.410816
100.0,1,196.414971
-44211.07187,1890,198.602041
-25529.420995,2961,201.985023
-18599.570754,1345,203.49875
-21208.588199,2709,206.63167
-15057.635451,1883,208.957149
-11885.523039,1191,210.444263
-57019.631402,3676,214.759331
-62824.616502,2498,217.393773
-1928.423849,1077,218.552144
-226.812343,319,218.917442
-53858.389444,4341,223.46213
-66458.920598,2479,226.465861
-13170.771236,2865,229.68084
-69815.121033,3010,232.838064
-33884.657119,3317,236.35286
-17338.030693,1484,237.995607
-877.141583,350,238.376561
-8638.677453,3040,241.676641
-21794.793554,2476,244.638797
-5100.841959,1236,245.908174
-36467.168909,2645,248.720187
-17099.003424,2145,251.001977
-6789.401693,1486,252.633985
-19069.493637,3345,256.190625
-12322.043919,1331,257.604215
-2144.534541,1486,259.197078
-4818.882622,877,260.154769
-8124.197809,3044,263.44166
-5207.741803,1268,264.821495
-10925.907793,1279,266.211651
-2166.093532,503,266.762164
-1731.155233,547,267.383042
-4695.259091,1250,268.739962
-7247.633389,2342,271.503456
100.0,1,271.508591
-4056.646841,1271,272.929188
-16032.156241,1129,274.17923
-6634.884421,1010,275.312896
-2332.989638,459,275.831311
-1526.31318,633,276.556846
-5231.998546,822,277.506046
-4466.269636,778,278.39803
-8629.456214,1502,280.070386
-1305.762722,725,280.893376
-8071.498545,2322,283.522755
-598.838279,328,283.929673
-1370.455583,610,284.611004
-4072.492476,2167,287.06331
-3708.094144,1004,288.226126
-286.103494,314,288.591277
-972.617905,555,289.209641
-2061.744891,1298,290.67583
-214.618143,501,291.260205
-1584.771897,464,291.788495
-6254.437456,751,292.703051
-1247.131371,318,293.062132
-2852.027664,745,293.896213
-3827.475913,631,294.615417
-3938.540189,1502,296.324068
-1479.276654,507,296.927041
-368.922258,377,297.346217
-578.469657,372,297.77916
-4664.29846,557,298.40329
-3214.806059,667,299.154136
-2796.782852,1539,300.880888
-1941.338942,1244,302.312942
-1815.173814,1021,303.475947
-97.053093,83,303.569135
-175.664415,75,303.653835
-1190.953869,340,304.044451
-1106.848339,339,304.427482
-2751.055141,872,305.426492
-590.093217,437,305.936143
-2045.463007,685,306.703704
-2530.562041,491,307.273825
-4798.32711,1481,308.971363
-276.267269,171,309.181888
-2290.355495,1043,310.341927
-1083.174479,233,310.605157
-677.579533,315,310.969915
-2310.418692,388,311.429115
-694.889569,251,311.721367
-1670.511842,1273,313.201761
-1595.913488,267,313.512079
-3801.300967,530,314.139485
-2204.766731,1183,315.48651
-431.838689,77,315.575227
-940.5429,278,315.883611
-323.432371,731,316.732305
-4115.45664,497,317.312384
100.0,1,317.314936
-2663.669698,608,318.016057
-1213.832329,898,319.058072
-802.240384,139,319.220439
-1886.104518,405,319.700708
-1950.331375,422,320.176807
-2582.124971,459,320.713053
-4275.098904,598,321.382457
-877.196822,94,321.490085
-1480.03924,1109,322.782991
-368.710102,93,322.895681
61.025661,114,323.022191
-2182.530192,1159,324.403314
-325.768735,69,324.482253
-1033.496387,367,324.896699
-1598.893367,508,325.500986
-603.723977,497,326.057718
-740.975808,89,326.157337
-1326.133301,411,326.642849
-812.156293,476,327.176911
-2889.474168,266,327.489228
-31.222609,319,327.878777
-3374.271068,569,328.519188
-4744.903171,570,329.192526
-1885.869777,750,330.06681
-1149.490146,163,330.254156
-179.217065,212,330.523859
-2487.712893,218,330.776092
-1004.135059,293,331.130848
-804.438096,487,331.688997
-65.511325,435,332.179029
-1681.773931,342,332.575485
-32.394102,203,332.799624
-509.970656,412,333.255921
-128.296413,390,333.716521
-1713.929559,573,334.353817
-132.00596,574,335.013228
-572.142064,402,335.468889
-884.692829,663,336.231416
-6444.455427,547,336.861924
-5213.234889,599,337.540625
-3612.941,600,338.238846
-775.98116,820,339.169992
-147.226763,254,339.457091
-305.608103,518,340.042367
-54.950812,180,340.269466
-2082.318734,860,341.242466
-1054.895687,411,341.743896
-286.817956,119,341.877159
62.347879,116,342.006286
-4821.368575,710,342.801384
-3550.96291,857,343.773479
-2000.094885,642,344.512649
-6102.821865,591,345.19635
-1241.278196,175,345.394492
-6386.979694,671,346.148999
-316.340215,173,346.346576
-125.122941,305,346.685398
-2718.703225,579,347.340008
-251.287743,213,347.574371
-4994.081366,682,348.371004
-625.638783,411,348.837297
100.0,1,348.83955
-410.572911,396,349.288131
-2294.440928,768,350.153453
-3258.103197,589,350.778087
81.575998,131,350.913631
-1483.742351,517,351.433991
-2350.170776,640,352.100552
-669.598836,198,352.301354
-1519.946815,985,353.326559
-915.084472,117,353.443515
-3019.958713,458,353.911638
-2086.054659,377,354.288591
-560.063052,489,354.795659
-750.543506,312,355.110158
-3686.892012,804,355.909944
-2602.470651,248,356.155288
-2097.100073,625,356.771095
-115.309314,52,356.822937
-2784.842409,453,357.292656
-2066.829202,317,357.629481
-147.188844,496,358.176042
-514.83584,116,358.317114
-1821.788373,588,359.014923
-1756.495971,207,359.267285
-745.193174,268,359.585604
-135.660169,222,359.856793
-301.999078,440,360.426192
-241.148276,365,360.863725
-464.401847,103,360.979125
-2477.996123,641,361.719803
-2301.687732,540,362.355583
-976.46029,436,362.879744
33.029066,34,362.918327
-587.727273,657,363.619227
-2302.300729,860,364.594213
-5297.749401,559,365.256375
-1772.688484,599,365.885292
-719.235627,84,365.967046
-978.496765,423,366.439982
-1131.691765,153,366.617255
-3530.292591,541,367.265201
64.547558,115,367.409288
-763.722318,414,367.897841
-4373.714664,1062,369.222596
-1501.379055,477,369.79348
-1166.567338,289,370.14086
100.0,1,370.143248
-1634.172658,554,370.817405
25.352234,38,370.86575
-1459.827781,568,371.530713
-273.357557,202,371.763969
73.171163,93,371.856666
-182.973248,160,372.010197
-494.573173,292,372.292295
-64.442786,117,372.408082
-24.971078,148,372.555577
-247.75604,509,373.065702
-1118.893007,532,373.587749
-239.515112,212,373.818206
-22.45635,153,373.973551
-364.629534,525,374.497154
-359.565393,117,374.614488
-174.896188,521,375.139058
-963.583714,323,375.450381
-358.61181,68,375.518303
-1986.476782,564,376.090708
57.698931,103,376.197394
-230.694431,411,376.610203
-3287.172979,593,377.219674
-2268.835036,499,377.716753
-1011.192389,249,377.958129
-1909.691307,671,378.605138
-445.01863,544,379.135269
-764.66287,392,379.524855
17.745502,39,379.565353
-3042.391252,702,380.24966
-3915.046746,537,380.825404
-112.357793,149,380.979499
-411.616743,432,381.405802
-1768.337007,362,381.772727
-731.468083,597,382.351076
-942.038795,153,382.501584
-3856.854141,570,383.078334
-210.195013,286,383.364004
-753.019449,394,383.775659
-5578.342573,552,384.347377
-199.129642,77,384.425042
-3150.812557,478,384.909731
-533.54756,309,385.217411
-879.346845,404,385.621778
-5239.939439,553,386.164295
-1.468011,209,386.36834
-910.107216,285,386.650368
-1655.576577,600,387.276804
-1196.707845,692,388.002678
-34.106019,130,388.135598
100.0,1,388.137155
-1434.100598,335,388.470579
100.0,1,388.472815
-55.517965,767,389.243919
-2222.549332,434,389.673024
-247.195719,53,389.735619
29.553959,129,389.86724
-157.894547,121,389.99279
-1445.509402,328,390.333566
-1401.22614,286,390.630923
-1101.118907,332,390.980441
-399.035139,133,391.1148
100.0,1,391.116435
-160.354685,290,391.402377
-1578.642213,414,391.829333
-1067.234959,151,391.981302
100.0,1,391.983485
-4712.942161,543,392.532806
-770.945691,273,392.812052
-939.332621,434,393.245896
-459.815106,129,393.378577
-262.544909,263,393.643161
-6577.190958,562,394.221113
-2849.920373,540,394.757931
-44.458252,347,395.108756
-986.622495,159,395.268435
-5411.44588,679,395.95659
-1569.60472,453,396.421638
-528.377759,677,397.09294
-134.000594,282,397.376705
-628.46985,661,398.0394
63.05295,93,398.133519
-468.145059,357,398.487432
-138.101614,91,398.580564
-2372.217091,561,399.153494
-6149.361106,544,399.70844
-729.482098,411,400.138927
-4893.482511,618,400.855214
-2036.604497,547,401.407119
-2361.736137,502,401.900665
-314.440173,375,402.288061
-4149.201042,547,402.832648
-4014.8863,642,403.4714
-678.511934,239,403.703427
-1260.818494,377,404.098303
-941.078663,385,404.49365
-866.447844,334,404.829061
-725.606573,713,405.539701
-1417.796297,360,405.899344
-1749.447598,480,406.373177
57.379158,214,406.58498
-522.341349,326,406.914279
-4593.736235,815,407.833916
-6561.615049,560,408.520098
-1081.272311,561,409.185634
-230.560299,581,409.867838
-79.069528,628,410.78785
63.385637,186,410.985698
-1309.132446,448,411.460758
-621.543871,145,411.61545
-5687.885599,570,412.27435
-132.296711,124,412.401747
-100.969922,177,412.611168
-1608.943868,295,412.922471
-464.272985,304,413.259864
-419.475572,455,413.759863
