#{"t_start": 1606268491.899233, "env_id": null}
r,l,t
-75078.899038,1622,3.697835
-49293.425709,1703,5.293806
-52703.289403,1475,6.681246
-73983.373575,2277,8.849533
-22573.025388,1629,10.345989
-44771.835523,5166,15.430824
-89030.602604,2101,17.450508
-126753.822273,1804,19.144665
-50295.487362,2143,21.189944
-66781.565977,2477,23.578407
-16568.139179,2086,25.605324
-96255.563911,1788,27.189543
-10115.27501,1824,28.939961
-74758.12114,3135,31.757251
-9813.608885,1415,33.130136
-23763.043842,1659,34.676141
-47299.035775,1463,36.090325
-22496.33868,1641,37.727943
-82041.107626,2263,39.890144
-38282.629905,1666,41.470014
-30589.083802,1633,43.000844
-2260.446837,1371,44.372272
-32137.210006,1679,46.025643
-35341.128951,1570,47.513124
-37720.645634,1463,48.934425
-150060.057704,4073,52.853015
-49816.318539,1579,54.415025
-20866.997864,1685,56.049836
-14621.70847,2479,58.50153
-39641.958725,2656,61.088956
-72337.639462,4417,65.351122
-46967.199515,1757,67.022073
-86495.724173,1739,68.694273
-23276.792598,2204,70.851326
-76798.115463,1900,72.697627
-32574.405577,2000,74.636451
-160486.388416,4471,78.982046
-40486.742946,4954,83.762878
-17527.897126,3467,87.060498
-8122.525133,1198,88.194699
-4492.99309,1588,89.746081
-5566.411917,2279,91.880049
-150250.281794,3504,95.263556
-14092.626709,1862,97.118251
-7710.440911,2334,99.427268
-6585.531115,2288,101.598738
-1561.717,577,102.147245
-5334.711233,1191,103.296756
-4410.316575,1622,104.917178
-3843.972606,1103,106.005897
-3409.177777,1913,107.855497
-1511.396692,1847,109.678303
-3276.070048,751,110.433475
-4326.877239,2290,112.658196
-6066.60799,2267,114.871194
-8428.370692,614,115.47538
-3116.442671,704,116.180236
-5284.39232,2684,118.658373
-19492.895407,962,119.649746
-189.398294,467,120.090957
-873.847675,302,120.378368
-6238.060591,1047,121.349779
-4136.426701,807,122.146686
-329.215333,244,122.391397
-388.862566,345,122.76034
-6272.992005,844,123.591887
-9600.51435,846,124.413717
-4526.173108,1703,126.069975
-3904.169219,924,127.00402
-1114.002322,395,127.388214
-5111.110233,1891,129.315895
-1107.550542,1218,130.504076
-798.432206,605,131.103075
-3439.131656,1070,132.170962
-3406.954352,1064,133.267969
-12650.729498,952,134.214164
-5903.817022,1264,135.459395
-6193.552736,1390,136.807548
-199.393142,365,137.191532
-505.319906,582,137.769973
-1684.437294,368,138.161613
-3819.53056,512,138.674626
67.079169,87,138.768457
-51323.372814,1402,140.053186
-5491.433885,415,140.50005
-2395.879346,804,141.262552
13.323216,223,141.513568
-57.683017,164,141.707674
-1329.308009,1220,142.865101
-137.703708,133,143.011676
-510.869397,544,143.583661
-1048.796659,604,144.15616
-18312.373659,1435,145.560561
-9707.285889,1015,146.523718
-1906.739305,709,147.190543
-1757.840563,1106,148.309643
-2742.594229,1280,149.602643
50.292674,220,149.815981
-2699.888894,826,150.664413
-192.287503,502,151.129467
-3061.514065,757,151.888299
-11787.865893,2582,154.373703
-40291.470968,1914,156.275084
-1447.85092,1207,157.466418
-1728.427732,320,157.820989
-344.91447,190,158.020853
-2370.627649,1553,159.512645
-7031.10296,2343,161.805679
-615.123961,226,162.03941
-92.467889,253,162.31105
-4270.062512,1812,164.018204
