#{"t_start": 1606233759.022253, "env_id": null}
r,l,t
-48897.466795,4151,11.415073
-215909.868873,10000,38.538799
-98051.325774,3593,48.22008
35.950712,29,48.251447
-39062.261922,3055,56.7238
-6266.777084,1038,59.575962
-97911.798746,10000,86.515964
-48699.188963,7826,107.260478
-1806.289237,628,109.203594
-4630.316503,1085,112.213506
100.0,1,112.219425
-13976.633333,2110,117.849365
-28360.625597,3592,127.517501
-1089.042457,603,129.116072
-63552.486368,6550,146.569916
-162412.272997,9122,170.692228
-320547.343178,8732,194.264964
-21074.162518,1561,198.445404
-1088.086042,807,200.577432
-254658.831564,10000,227.426113
-261830.619448,10000,254.478622
-13013.336398,2181,260.409989
-10266.575474,1159,263.578682
-119203.316354,10000,290.510799
-291475.794672,10000,317.592809
-84924.054966,10000,344.941109
-134.990798,259,345.602386
-37932.324149,5332,360.474704
-149885.327965,10000,387.606587
-26117.541468,3205,396.510307
-4244.987612,1502,400.620671
-3535.986328,960,403.201448
-7512.887835,1998,409.038052
-30645.891801,5799,425.182975
-9823.268796,1601,429.665454
-90228.864842,4937,444.014687
-27715.115871,4259,455.847174
-72914.449146,8666,480.427173
-16671.293394,2568,487.510658
-131.202289,171,487.8485
-1371.418167,535,489.482812
-77886.032186,5596,505.159086
-18281.567935,3197,513.782372
-29679.679101,5510,529.225727
-54674.783507,6317,546.80607
-332331.620559,10000,574.247533
-22273.191058,3479,583.885808
-21413.733931,2731,591.332229
-12713.199053,2279,597.579806
-68430.765572,7416,618.383913
-112602.966479,5375,633.935369
-4330.377076,1126,637.083275
-112883.165558,9407,663.400652
-13280.332523,1567,667.963874
-39794.011751,2674,675.423116
-157361.546261,10000,704.047628
-32307.040831,6897,723.266532
-107827.449962,9135,748.831235
-19220.000955,2285,755.253395
-15989.829471,5619,771.151737
-77074.886776,8776,794.958411
-7846.446111,1838,800.476028
-1821.72467,402,801.598308
-10446.892162,2493,808.489212
-41402.579031,7256,828.468397
44.569901,55,828.723476
-9737.564116,2588,835.678804
-2977.233298,1269,839.059044
-10420.237392,3931,849.803029
-8597.896959,2263,856.399191
-7646.787132,2242,862.638982
-21609.878546,5049,876.139596
100.0,1,876.153877
-13604.825336,2647,883.879771
-6789.747174,2276,890.092461
-27847.395002,3825,900.304672
-6492.263553,1812,905.18344
-8494.041073,2076,911.402785
-93925.190961,5232,925.344805
-26303.240163,2141,931.264895
-3047.774098,2048,937.600163
-6585.601761,3493,947.26206
-6697.162704,3006,955.655215
-13623.667864,3272,965.154704
-9901.553003,3382,974.066332
-56772.606367,5634,989.836962
-3489.072928,903,992.947478
-13021.406973,2743,1000.35553
-15593.003932,2798,1008.140012
-61754.767412,10000,1036.372163
-4403.207349,2749,1044.244096
-74848.550058,10000,1072.430444
-26807.269181,5860,1088.786347
-32661.185099,8498,1112.70467
-18407.602601,4253,1124.643528
-8771.825248,2137,1130.558131
-5073.386208,2632,1138.883597
-5638.331153,1611,1143.468891
-22723.776751,3970,1154.355459
-1184.76886,1327,1158.127915
-20044.309968,2967,1166.93397
-24463.765419,2653,1174.166518
-12594.56857,2058,1179.774455
-24673.967119,4493,1192.976357
-30296.054811,5814,1208.886449
-3465.115203,457,1210.289952
-24769.296893,5604,1226.297646
-135884.194367,10000,1255.098575
-78940.346869,10000,1283.583836
-4614.664882,1180,1286.852678
-1570.254594,1235,1290.151224
-10383.03643,3464,1299.824969
-10289.258262,3264,1309.797801
-1099.452211,1559,1313.932305
-3774.274217,2066,1319.707273
-6038.099854,2175,1325.874055
-625.307628,1451,1330.000955
-13835.171884,4280,1342.667286
-16274.279479,5012,1356.731771
-12201.308038,4641,1370.146442
-1450.463142,1109,1373.196191
-44372.996897,3566,1383.023256
-12541.64078,2182,1389.384134
-7135.117849,975,1392.973969
-1117.581219,535,1394.37073
-5227.536634,1495,1398.451115
-24693.497309,3680,1408.78354
-12415.187566,3971,1420.806355
-202.149272,52,1421.059223
-4580.562245,1570,1425.684508
-14150.487932,1095,1428.669065
-54965.186541,2442,1435.34997
-15061.456613,5415,1451.126386
-3600.38107,1768,1456.032052
-4584.600302,1674,1460.706771
-17293.32141,2106,1466.68382
-37675.395713,10000,1495.035496
-4916.108363,1033,1497.824008
-41376.367094,7055,1518.274741
-2475.025835,1156,1521.37641
-8960.714589,4181,1534.264269
-6759.71442,1601,1538.954358
-259.561323,272,1539.74665
-118021.769741,6473,1557.479335
-32658.906701,3740,1568.861225
-16378.237868,3119,1577.772776
-12025.317606,3368,1587.248697
-8217.974485,3502,1597.98974
-6831.857747,1257,1601.263202
-696.568032,794,1603.586534
-6471.590098,874,1606.198214
-54469.958846,8319,1630.508435
-34940.413369,10000,1659.449847
-20090.025105,4612,1672.352312
-112225.403146,6642,1691.933016
-1822.643478,1124,1695.13507
-9345.722529,3021,1703.618651
-16286.717552,2202,1710.871126
-10927.531614,2144,1716.956601
-12472.85918,2393,1723.912814
-91350.761984,8363,1748.107932
-91242.760459,3697,1758.516503
-228282.553748,10000,1787.36314
-29150.397378,6949,1808.025714
-42440.695107,10000,1837.045884
-8665.410588,1376,1840.697716
-11280.148784,4808,1855.295825
-12342.904544,4220,1867.308725
-27834.159262,7320,1889.135964
-26262.601579,7338,1909.689136
-100562.261172,6766,1929.246316
-8311.682182,2970,1937.328901
-92967.40384,9133,1963.217877
