#{"t_start": 1606305409.507581, "env_id": null}
r,l,t
-113267.564982,1830,2.572966
-47510.815157,1782,4.382177
-81035.979181,1519,5.942111
-108818.242146,2435,8.328886
-150685.604292,5974,13.96238
-16642.923674,4331,18.153633
-178338.85089,9417,27.033154
-149041.721425,10000,36.543234
-13693.816029,4238,40.595745
-120886.922307,5792,46.071325
-25310.633049,5010,50.745197
-32303.271118,3223,53.797207
-5858.879314,2052,55.732309
-15669.457372,2075,57.677841
-13999.422387,4822,62.190993
-6282.842588,410,62.611922
-30383.213286,2236,64.766892
-4126.372278,884,65.618354
-802.27741,544,66.119646
-3044.553623,1017,67.086407
-9962.64998,2369,69.337634
-2486.090038,1240,70.510694
-1827.128516,429,70.924115
-11030.4318,1802,72.666402
-6244.930398,1185,73.796392
-2422.467652,877,74.643508
-4487.810776,463,75.104222
-6410.53302,377,75.466803
-3395.869341,806,76.257873
-6225.583755,706,76.922413
-1927.854508,856,77.73177
-2715.596901,931,78.63877
-5760.28523,940,79.555293
-5184.113881,3452,82.882207
-1270.513454,772,83.623586
-1188.458834,526,84.146855
-2287.918622,712,84.852533
-1427.414467,109,84.960069
-1340.151403,704,85.629691
-4082.151879,1446,87.033819
-996.993923,1554,88.562746
-8476.83576,2239,90.73117
-3093.460424,766,91.42515
-1703.120676,485,91.878021
-1669.913074,813,92.698102
-2402.853754,745,93.360247
-4571.606953,2359,95.692864
-3295.668565,548,96.197523
-1748.38441,1330,97.471667
-1324.236047,784,98.170956
-4454.335988,1397,99.560639
-3927.582765,1095,100.622828
-236.549548,223,100.857783
-783.348624,288,101.122662
-546.843597,665,101.759491
-2138.831225,941,102.709236
-716.541483,295,102.985902
-1175.530556,1330,104.249552
-3671.267928,941,105.146959
-454.186711,332,105.444955
-1065.275102,1179,106.625316
-2466.157026,875,107.473372
-461.092827,257,107.716151
-371.548181,65,107.79569
-141.81935,122,107.912119
62.31858,188,108.1009
-458.697238,525,108.606301
-708.105927,889,109.504099
-676.264744,956,110.4284
-2490.039874,426,110.816046
-771.9351,449,111.31228
-289.171141,114,111.415122
-4672.813121,600,111.979826
-1670.537797,452,112.427073
-1235.898449,334,112.728761
-565.130998,292,113.050105
58.101783,116,113.157041
28.952496,32,113.182407
-728.976183,832,113.962476
-379.851854,351,114.307276
-502.811323,180,114.502173
-121.246855,464,114.948624
-734.916838,470,115.375629
-757.133574,841,116.168326
61.565239,126,116.280887
-4415.452476,736,117.015297
-1691.171734,677,117.616524
-505.320339,186,117.827932
-2142.148713,765,118.54472
-1647.476349,677,119.209609
75.771854,86,119.302773
-2615.106132,378,119.696972
-2673.977615,1266,120.930615
-4727.329682,691,121.61364
-2733.211346,990,122.579591
48.540793,20,122.595369
-841.014394,271,122.847823
100.0,1,122.850238
-406.492353,527,123.350011
-1381.019862,931,124.228812
-1871.409869,1027,125.24135
58.602479,313,125.581483
-4973.338884,1086,126.610415
-4427.168326,804,127.396282
76.852297,126,127.53699
-3609.176864,1013,128.51678
-5689.373563,631,129.061214
-979.408506,701,129.767977
-611.596123,398,130.129354
-3321.197839,435,130.561517
-2053.776527,1020,131.523356
-360.569068,259,131.763551
-22.523147,617,132.353067
-2221.509913,798,133.11525
-1709.988431,292,133.407944
-40.448118,178,133.557185
34.369285,27,133.578194
-2271.692977,499,134.038659
-2147.167601,729,134.746997
-1295.517094,319,135.045519
-344.261,164,135.221515
-2695.552945,484,135.673624
-0.339538,434,136.09693
-1192.694826,326,136.399743
-378.179003,358,136.750816
1.077557,170,136.93814
-828.698469,350,137.281676
-1050.986961,451,137.735496
-435.650918,650,138.388032
-1436.15538,365,138.735533
-1191.782968,594,139.323955
19.565916,147,139.490644
-72.193613,174,139.643933
-1379.044615,724,140.383813
-106.058267,31,140.410606
41.451399,41,140.442093
-226.858696,135,140.573112
-71.789724,139,140.708179
-26.644337,86,140.802894
17.602082,101,140.902952
-1419.984461,551,141.427078
-328.774404,312,141.758974
-270.948298,121,141.852782
57.620666,16,141.895081
-372.265789,160,142.051877
-117.297151,181,142.215589
-347.381613,231,142.435799
-1384.275564,370,142.794614
-931.316614,367,143.152131
-2076.819427,405,143.539081
-947.197637,611,144.150477
-64.380781,101,144.254624
-220.419984,42,144.286208
-201.595436,288,144.552128
-911.350703,427,144.980672
-995.281687,429,145.422755
27.367091,349,145.767429
-716.919655,263,146.048816
-3527.161607,921,146.906659
-274.617574,163,147.063362
58.614613,186,147.257483
-15.430392,106,147.339936
-461.689022,546,147.881716
52.599141,225,148.074297
-1643.969468,397,148.446089
-1902.652016,323,148.766964
-1804.725329,309,149.060982
-112.392338,31,149.115607
-834.789217,297,149.392602
-788.00682,222,149.612568
-2469.954427,392,149.987811
-3178.661466,427,150.363675
-696.052955,312,150.688194
-1.755158,91,150.751033
100.0,1,150.753047
-2700.164981,462,151.172132
-2733.766045,446,151.586135
-1265.995209,745,152.282115
-1611.417572,288,152.55897
-3057.288476,461,153.023411
-3511.34316,485,153.546852
-228.585064,144,153.689641
-3914.874527,986,154.631552
-494.487186,355,154.947702
84.909083,63,155.027433
73.768608,56,155.073075
-2207.32084,238,155.298069
-107.119671,72,155.385665
82.321841,61,155.431815
-2321.80637,390,155.80346
-606.248226,339,156.113361
80.437393,180,156.270131
-159.213143,79,156.356492
-995.06602,245,156.621935
-127.948549,112,156.738577
-985.989435,362,157.095393
-37.073179,38,157.125639
-2309.090234,379,157.496846
-2871.323443,352,157.839961
-3058.912848,401,158.215885
-2198.686066,308,158.497905
-306.489771,419,158.888561
-1726.046694,500,159.371682
-290.000627,219,159.57969
46.30372,397,159.932156
-1134.173774,354,160.314074
-411.903958,233,160.543067
-961.483021,338,160.855352
-1057.495617,332,161.167449
-1982.144792,386,161.539354
-628.251414,337,161.873303
-1184.013796,410,162.287462
-274.96056,169,162.446114
-4812.091344,546,162.962834
-71.420548,158,163.13364
-2646.037165,564,163.673933
-1949.759022,433,164.073134
70.315623,281,164.376318
-922.470667,167,164.52943
-227.565694,61,164.578937
90.789048,120,164.703392
-2603.742613,662,165.324184
-400.905608,147,165.47856
-4029.477388,602,166.025837
-292.432799,242,166.239823
-158.721425,73,166.31763
-925.389354,407,166.683462
-320.02293,184,166.837497
-1885.881137,346,167.179451
-2727.016616,881,168.045309
-480.386443,355,168.359909
-5112.792494,684,168.991255
-965.616611,201,169.19773
-216.340035,204,169.373997
-832.515797,302,169.671697
45.380627,459,170.095496
-2591.518185,1309,171.325332
-1296.938626,411,171.740737
-1472.496569,526,172.228497
-3230.264558,1377,173.538053
-761.398491,333,173.837881
-44.816539,206,174.04286
-2296.665432,409,174.425315
-1479.710761,470,174.858107
-1028.711105,375,175.178358
-415.350473,99,175.25415
-5313.81674,699,175.925122
-1961.460628,590,176.484313
-1501.767986,201,176.669053
-1615.402283,385,177.022035
-276.388627,358,177.36368
59.720892,349,177.675305
-387.118364,121,177.795163
-1843.290357,330,178.12317
-848.858223,303,178.414977
6.605189,57,178.483578
-1547.978158,506,178.957309
-751.43517,341,179.274214
-116.756691,70,179.355221
-1003.30728,1153,180.473897
85.90285,62,180.521482
-38.724256,135,180.679234
-7351.137517,1075,181.658953
-181.013568,491,182.146698
-7024.557147,1718,183.788361
-16832.625442,1680,185.376384
-6242.274211,1125,186.495758
-1409.158224,480,186.965825
-1319.460498,232,187.175467
100.0,1,187.177882
-7094.249938,945,188.078336
-4415.416974,1036,189.048735
-1068.075208,404,189.436897
-458.591701,234,189.66335
-3029.244554,475,190.129716
-973.022657,355,190.460159
-2476.679575,686,191.100972
-10220.876027,1648,192.705027
-1452.418775,422,193.102342
-2604.1924,855,193.891919
-10956.700051,1450,195.229762
-11255.263111,1005,196.211836
-2864.739874,585,196.785594
-749.290888,167,196.942749
-364.865088,123,197.062346
-9757.409183,813,197.811749
-122.853159,634,198.425439
-3519.191078,478,198.880828
-859.91756,218,199.096264
-2509.184876,725,199.77377
-147.529395,198,199.970119
-784.551865,332,200.276484
-537.175024,321,200.607304
-196.927397,538,201.090257
-714.710981,365,201.453346
-1257.934116,333,201.793712
-1386.630068,399,202.166503
-1185.729801,332,202.466611
-700.710083,239,202.689831
100.0,1,202.691906
-194.61923,325,202.993412
-404.359239,99,203.078482
-954.241508,310,203.376573
-392.392392,181,203.543458
-94.395114,94,203.634032
-19.225456,138,203.754294
17.656655,197,203.949438
-1702.900936,330,204.244098
-211.831159,293,204.538368
-324.88773,166,204.67857
-2368.597892,242,204.907928
-2900.219244,429,205.296561
-260.738417,257,205.543127
76.617853,182,205.70374
10.93191,105,205.806115
-150.428255,205,206.0143
-1492.145284,203,206.191302
-4760.943186,601,206.754435
-2425.678669,581,207.318802
-392.376783,1373,208.589293
-2076.975175,322,208.912888
-217.515921,103,209.011658
-241.416032,138,209.131761
-1979.81066,493,209.614769
53.909098,20,209.632633
-847.782355,298,209.903951
-1772.090433,394,210.28304
-697.928537,369,210.640854
-3478.265403,527,211.102562
-1193.054672,451,211.533465
-234.756193,788,212.254128
-3998.412383,718,212.966145
59.026602,16,212.980705
-76.861381,123,213.105857
-2844.420064,841,213.915874
-65.226664,251,214.151322
-1930.065135,476,214.638093
74.885413,107,214.746643
-32.357847,129,214.866667
-3129.749292,644,215.457802
-3818.845072,614,216.09229
-0.394539,347,216.3999
-1201.953653,298,216.700205
-1896.44368,354,217.00759
-6282.96118,590,217.572326
-52.924072,250,217.875397
-268.871055,374,218.238645
-2127.399416,496,218.708374
-225.016434,217,218.889475
-1243.379953,564,219.463839
-182.64264,279,219.722654
-2706.973444,621,220.318533
-13.365344,144,220.46512
-1525.126575,399,220.864079
66.857236,262,221.117869
-3925.826064,1034,222.129078
-581.082744,324,222.446845
-267.227535,644,223.054385
-260.432231,334,223.404651
44.895166,262,223.648489
-3584.206487,626,224.233127
14.095385,387,224.604436
-292.048466,333,224.949933
-198.413702,494,225.444958
-11464.290143,1436,226.778545
-275.868433,161,226.938244
-688.256932,415,227.359707
-308.763396,339,227.680385
54.579077,17,227.696917
-360.983216,205,227.909568
-271.12862,95,228.017407
-761.508773,498,228.483844
-1560.913846,249,228.685992
-2554.256543,674,229.340147
-644.27188,100,229.446541
100.0,1,229.448469
-6026.685575,769,230.210026
-824.084357,564,230.735808
-1574.872428,843,231.586445
-550.565477,92,231.649146
40.930302,35,231.702065
-2072.765881,561,232.234013
-279.387173,326,232.530538
-2047.581687,577,233.122417
-14702.005918,1183,234.241424
-11804.209161,1132,235.337435
8.011333,180,235.523274
-7278.890211,807,236.301597
-5581.872901,1158,237.424267
-1140.533691,423,237.836018
-294.804722,97,237.942214
-727.839677,247,238.182662
51.490123,464,238.607001
-205.456567,257,238.851099
-1650.03737,524,239.380434
-925.627149,250,239.608842
-960.160664,183,239.804027
-2764.834963,439,240.227364
-1627.992329,543,240.777576
-855.236921,500,241.218944
-170.176691,203,241.40489
-3366.540294,518,241.923349
-269.474497,350,242.265615
-1759.982583,291,242.533882
-92.503835,92,242.633783
-344.38156,165,242.782039
100.0,1,242.783953
9.741213,231,243.006161
-1305.808009,528,243.535707
-238.013709,451,243.98999
-1481.034695,324,244.295792
-1084.49783,248,244.546192
-1491.410866,396,244.924736
-2536.232712,437,245.356431
-1836.84166,248,245.605846
-136.730936,129,245.721473
-22.787122,119,245.813581
-477.706792,258,246.06115
-248.065998,292,246.380308
-4065.829214,526,246.886374
-2434.555652,610,247.445594
-358.41878,140,247.581086
74.679113,68,247.634471
-1460.085421,788,248.410851
-389.991838,116,248.527136
83.493489,70,248.611223
-3742.965183,705,249.266661
100.0,1,249.269552
-117.058203,106,249.372437
-1292.556523,365,249.74012
-2483.138252,547,250.272473
-282.988928,75,250.359233
-2302.650224,423,250.758799
-318.78286,136,250.89089
-127.117942,106,251.002771
-1291.125574,336,251.349052
-103.743586,129,251.465983
-882.914257,299,251.731663
-1182.923974,263,251.986268
-1459.892126,459,252.448312
-849.638233,416,252.835528
-658.927858,144,252.965525
46.133947,174,253.145806
-6552.034681,598,253.745221
-971.767411,370,254.128302
-1209.448772,236,254.362694
-110.135386,32,254.391126
-665.500006,395,254.774693
