#{"t_start": 1606270405.4525812, "env_id": null}
r,l,t
-291775.490781,10000,42.075677
-270072.773535,5297,63.937201
-29063.933033,2454,73.850679
33.789039,28,73.968048
-15976.252541,2829,85.537003
-3094.302926,918,89.287431
-6478.710621,979,93.245486
-96019.044309,5743,116.7448
-55440.921349,4096,133.666412
-35125.661442,2986,145.74105
-8079.977882,2373,155.494192
-1525.716864,850,159.057061
-271.323877,58,159.296618
-37635.872921,3755,174.786453
-32933.018994,6839,203.680006
-10704.73348,1476,209.908185
-23425.014468,6212,235.773191
-19345.403708,4346,254.265795
-153387.711224,10000,296.218054
-76.551981,257,297.270854
-15985.75198,5191,318.864182
-4681.912098,1346,324.447688
-14780.788523,2402,334.610046
-9956.34781,1473,340.740816
-2848.805845,1318,346.293113
-54512.451287,8716,382.822815
-17266.115529,4313,400.816994
-881.808381,492,402.860483
-94.711851,179,403.597162
-46955.687797,3929,420.019736
-7485.094014,1170,424.918938
42.930881,22,425.020958
-1362.567098,1508,431.366816
-4666.558151,1752,438.715043
-29662.117067,4353,456.75707
-11590.343036,2793,468.227349
-1988.812831,1045,472.535341
-369.86782,701,475.372939
-224.815966,52,475.591965
-17473.833154,3952,491.690453
-21596.294168,2797,503.076566
-1053.872493,1098,507.621972
-59579.403524,1775,514.872585
-13437.090489,1364,520.423442
41.249012,37,520.563026
-78632.656327,4284,538.408031
-16559.575144,1344,544.090681
85.143682,55,544.327747
-6555.290235,1695,551.409806
-4733.929347,821,554.741124
-411.113338,216,555.614089
-447.792266,115,556.090985
-199049.971158,3944,572.118773
-6603.551167,1024,576.300782
-13389.742237,3249,589.693753
-15067.210867,2310,599.235955
-12396.179074,1733,606.543997
-274215.827614,5655,629.681389
-1109.577216,546,631.973084
42.425922,22,632.05864
-464.625425,405,633.665611
-11012.658687,1556,639.935673
-13810.678384,1542,646.138758
-326.183725,139,646.717564
-12829.929592,1260,651.820418
-10889.202456,867,655.392904
-26506.789765,4859,675.590919
-23.276155,72,675.917036
-167.332422,87,676.282761
-8.262291,130,676.81238
-4464.448214,1682,683.717787
-40856.474806,1224,688.85628
-1575.709104,986,692.88244
-7303.241233,995,696.953208
82.435213,61,697.207424
-628.396468,178,697.915453
-3969.083699,2229,707.212045
65.157073,125,707.733079
-514.635909,239,708.709044
-3171.711496,1123,713.377409
-16530.607079,1720,720.309521
-222.899881,265,721.422628
-2640.122253,588,723.837815
-9092.084662,837,727.293984
-117.801564,117,727.774763
-7851.04084,1574,734.175328
-680.510231,410,735.852354
41.175732,21,735.942508
-59076.682368,4428,754.040198
-11098.999134,2129,762.776093
-3643.795904,1783,770.171001
-3112.43659,1186,774.964795
-10459.557232,2189,783.767195
-57724.957443,5589,806.588129
-3128.24493,1230,811.574919
-15436.696676,1578,817.574917
-14905.146576,2264,826.743241
-45079.944997,4495,845.254301
-12080.484295,947,849.112007
-13849.125621,2457,859.199371
76.854114,60,859.449996
-16155.104037,2417,869.445713
-23300.510488,5356,891.450598
-8594.069445,3756,906.94241
-1078.545644,1005,910.92375
-17265.134006,1635,917.685107
42.039203,107,918.125062
-6052.674438,1190,923.00506
-172.760537,47,923.20554
-10418.276754,2400,933.095716
37.718482,272,934.241688
-860.946222,509,936.381908
-61997.415677,4701,955.664188
-3860.892026,1599,962.194207
-12241.411861,2709,973.390153
-21150.96074,2634,984.050743
-10556.586179,1218,988.959143
-15800.102527,4416,1007.046159
-13044.952083,2454,1017.237037
-10799.83679,2811,1028.83968
-57970.05413,3858,1044.67032
42.809058,22,1044.771654
-3300.238556,1706,1051.721613
-11582.422378,2492,1061.90693
-67.168866,153,1062.547559
-9299.338693,3463,1076.705516
-816.041199,558,1079.040893
-2633.084334,697,1081.925202
-20325.587425,3821,1097.423569
-30592.054109,5992,1122.044113
-68701.28425,6888,1150.120697
-169401.963258,5683,1173.516946
-5278.122302,2008,1181.784122
-5200.899822,2434,1191.906482
-379.638295,212,1192.847498
-477.665762,348,1194.30001
-571.736103,564,1196.645121
-90070.292512,5642,1219.590057
100.0,1,1219.606596
-7825.765211,1122,1224.179361
-27251.048948,3821,1239.96973
-9061.636431,3085,1252.694701
-19.810443,49,1252.902598
-39254.490709,5923,1277.283513
-26739.310547,1692,1284.280232
-2043.43855,442,1286.104815
-393.479717,197,1286.898422
-27026.545933,6403,1313.287914
-2388.389551,1098,1317.745472
-776.494061,809,1320.938377
-7675.676908,1770,1328.209659
-5259.047381,1249,1333.396501
-1896.741641,1007,1337.517632
-289.003706,447,1339.376372
-1012.481488,537,1341.562333
-1202.164435,592,1343.999238
-3924.174833,2093,1352.669306
-6311.352034,1611,1359.244465
-5622.350221,1326,1364.731463
-4147.25263,1405,1370.502649
-11918.840055,2254,1379.797773
47.704793,20,1379.893341
-7585.730508,1219,1384.890952
-1565.005233,1137,1389.524858
-463.309833,393,1391.145228
-4039.14592,1103,1395.726942
-503.298044,176,1396.447552
-3765.687326,1571,1402.959792
-9033.491869,2114,1411.61069
-5125.408628,1354,1417.102415
-17.158501,299,1418.355831
-420.984914,233,1419.329772
-14305.109435,1776,1426.711181
-50.367836,109,1427.165396
-1861.048731,540,1429.382408
-2015.069423,212,1430.250596
-23676.525232,2216,1439.306836
-297.39015,135,1439.864775
-640.385237,402,1441.516852
-147.165581,100,1441.932907
-10198.076896,1944,1449.93229
-29747.4056,4513,1468.513506
-21133.313613,1765,1475.722346
-1676.966817,741,1478.746137
-1606.457584,850,1482.241713
-122.138151,218,1483.145526
-32683.429799,4519,1501.743133
-669.616647,676,1504.534656
-2601.293104,527,1506.660041
-1451.666905,362,1508.164254
-3485.264734,1157,1512.985982
-12258.794736,3810,1528.614336
-28299.18599,3923,1544.611308
-2784.652676,2061,1553.1341
-12730.716581,2683,1564.241036
-3137.897965,992,1568.406186
-23862.937119,4541,1587.031358
-19929.513084,2920,1599.047085
-227.678585,240,1600.071764
-13494.252834,2189,1609.087259
-2038.192641,891,1612.781244
-3791.882501,659,1615.481251
-6372.622161,2001,1623.779518
-704.675946,623,1626.377448
-2358.118028,314,1627.63448
-2104.297331,1009,1631.821582
-4657.314687,1590,1638.439873
-3449.453617,1363,1644.006566
-103.368412,221,1644.939729
-1000.420482,366,1646.441443
-861.156942,757,1649.578576
-44388.635194,5394,1671.88396
-4106.129342,1237,1676.986223
-9266.11719,2613,1687.80836
-2688.487002,1516,1694.086588
-529.780648,645,1696.750725
-1270.729545,787,1700.021369
-6155.409933,1082,1704.461949
-711.633574,1837,1711.978055
-185.286808,39,1712.144042
-3212.679566,542,1714.355563
-7509.153391,1210,1719.278411
-5514.617118,1449,1725.10798
-178.009449,185,1725.873601
-3205.398931,534,1728.037751
-31024.164886,3626,1742.818821
-10644.377053,1544,1749.119448
-455.747641,580,1751.455822
-143.956576,48,1751.675576
-327.105555,677,1754.433393
-8347.103598,1177,1759.265781
-22.607898,33,1759.403332
-13504.995701,1469,1765.374779
-48806.786458,4257,1782.73398
-534.55313,242,1783.707895
-9194.553756,1547,1789.865592
-223.850939,200,1790.689618
-14591.343612,1856,1798.209596
-128.968939,119,1798.69673
-30076.362676,5335,1820.474595
-16405.704397,2958,1832.521137
-2107.008178,698,1835.36495
-6143.685235,1326,1840.826277
-18490.095484,1363,1846.453644
-11438.08437,1301,1851.717712
-431.826983,150,1852.308079
-427484.414535,10000,1893.396212
100.0,1,1893.422865
-340.040995,175,1894.139676
-3091.849847,988,1898.156367
-452.33838,196,1898.946573
-3369.705063,781,1902.129676
60.592919,91,1902.517826
-20015.738523,3742,1917.779765
-4291.597323,1199,1922.682705
-15777.70651,1266,1927.86754
-7495.479323,2596,1938.612
-325.439624,81,1938.96004
-21238.749977,3990,1955.436985
-533.036194,505,1957.531371
-73966.624765,7560,1988.622526
-63842.176185,5420,2011.294633
-73354.306007,7784,2043.254363
-13019.573776,3639,2058.249843
-5040.801021,1537,2064.515023
-178703.437971,10000,2105.509741
-4514.772901,1226,2110.544821
-42649.320872,4196,2127.687661
-9191.27374,2465,2137.739561
-336.225735,225,2138.651608
-48560.077587,5245,2160.058645
-20950.851144,2819,2171.506882
-12159.629229,2927,2183.374552
-869.593793,166,2184.086866
-342.504369,538,2186.259389
-43955.239309,2742,2197.421323
-6057.556789,628,2199.942288
-14765.003091,1660,2206.710874
-9327.750072,1154,2211.414309
-100905.40165,10000,2252.135776
-31913.395969,5174,2273.162685
-4427.124837,993,2277.237491
71.041018,161,2277.898401
-5830.042264,1616,2284.527402
-25337.891987,6677,2311.603987
-18487.519371,2854,2323.203255
-63312.26836,2809,2334.64111
-81063.133411,5785,2358.199019
-40685.261609,3259,2371.389903
-29308.273508,2293,2380.713642
42.791413,27,2380.830534
-19136.112243,5558,2403.437087
-41223.366991,2646,2414.179766
-14717.602372,3186,2427.055692
-14752.061747,2207,2436.017924
-171.99965,55,2436.245863
-32349.455705,1841,2443.688307
-12426.528497,776,2446.834692
-20244.850703,3376,2460.528041
-4499.280976,1657,2467.306526
17.725949,299,2468.510422
-335.331177,281,2469.645084
-23436.26479,5466,2491.77759
-4416.52917,1085,2496.163514
-19287.008393,2406,2505.97867
-387.056845,92,2506.344028
-41369.501925,4315,2524.107399
-9191.193411,2256,2533.23316
-895.068192,588,2535.623003
-712.999768,828,2538.956338
-9263.092644,648,2541.578272
-458.473386,315,2542.850945
-15656.532243,2057,2551.147106
-63237.692148,4894,2570.988068
-2410.852793,778,2574.128148
-33109.208293,2957,2586.147103
46.470433,20,2586.238185
-8419.192878,2427,2596.08757
-69783.636681,6804,2623.615708
-62614.063008,5078,2644.113769
-4214.510915,1441,2649.930378
-31319.551796,4270,2667.280947
-96438.818534,7149,2696.216472
