#{"t_start": 1606296566.176272, "env_id": null}
r,l,t
-4863.691633,1024,1.883345
-9498.516077,2206,4.321341
-20625.692654,1948,6.475207
-6648.123628,688,7.208348
-11893.297817,3096,10.614471
-4491.62256,965,11.655836
-41989.340005,4908,17.090026
-58469.874456,3059,20.40931
-7022.809079,2242,22.863235
-153419.576539,4059,27.329511
-48899.227992,4092,31.725595
-87157.248744,3413,35.407175
-1769.945248,1418,36.971929
-61029.289633,2399,39.582689
-213.339004,298,39.893203
-22311.709484,1820,41.904905
-146114.137557,9361,52.034862
-44495.756202,2971,55.172244
-12100.073126,2879,58.094722
-3037.033211,2337,60.542669
-106167.867562,7485,68.214217
-169245.875912,10000,78.476435
-24746.756969,5861,84.493435
-8833.280826,2128,86.704599
-17741.558249,6774,93.69394
-1015.824147,110,93.788517
100.0,1,93.79109
-6115.888234,2646,96.538055
-15214.797347,4779,101.418972
-83.57061,46,101.509649
-1747.064742,550,102.038877
-2325.107475,1463,103.519404
-21566.72647,2001,105.543693
-1517.179283,270,105.824171
-9398.802328,1441,107.357615
-12079.46291,1508,108.870839
-7902.150878,5416,114.52154
-3823.277823,898,115.451451
-3795.880667,1650,117.177078
-2547.902652,843,118.041491
-2108.407688,537,118.591145
-1078.936235,585,119.215584
-3932.49433,661,119.858989
-344.002099,367,120.249413
-5507.20452,894,121.175497
-1279.467354,735,121.926079
-86.000921,45,121.963808
-3359.855026,335,122.328958
-935.075267,466,122.785591
-2940.653804,397,123.212982
-2609.210958,444,123.684076
-689.399716,929,124.638407
-505.617156,1024,125.698839
-624.16688,516,126.196665
-766.109699,311,126.552103
-1454.294931,929,127.478594
-930.260049,347,127.802862
-169.990642,206,128.03095
-3836.75309,649,128.719976
-1706.483526,467,129.210064
-6204.850304,1337,130.572199
-2324.77295,258,130.824311
-22.457952,160,131.011053
-1417.000618,314,131.323654
-3528.312133,779,132.138538
-842.927779,1506,133.675459
-5137.197301,953,134.630945
-3515.043247,772,135.373925
-460.190689,567,135.981475
-7561.360274,745,136.74339
-358.209129,283,137.036769
71.938008,103,137.152671
-10246.051664,689,137.868581
-5065.473093,809,138.694818
-16982.663163,1179,139.880273
-2089.989677,765,140.653676
-346.717581,285,140.968662
-1061.683946,373,141.356644
-1174.168621,336,141.693158
-45.26235,32,141.72026
-1613.845818,698,142.439217
-723.865674,400,142.857718
-323.333261,195,143.063335
-356.437105,410,143.45884
-772.891127,449,143.915828
-2216.25181,222,144.1427
-5323.023314,721,144.901213
-1941.198238,441,145.313971
71.924932,180,145.535319
-2223.008391,349,145.871022
-152.239691,356,146.224513
-672.692111,186,146.402192
-1169.553701,409,146.866144
-1249.512012,414,147.299322
-5464.707601,548,147.846678
-123.398613,861,148.738175
42.257184,22,148.771274
-328.705349,213,149.0069
-1375.067565,1253,150.327099
45.075129,22,150.34895
-515.345447,98,150.423052
-1688.901211,371,150.815938
-718.012339,249,151.083067
-120.732303,132,151.221285
-189.397508,192,151.430809
-1293.257891,240,151.681072
-1852.19872,441,152.148056
-200.681196,235,152.390808
-2232.895953,433,152.826685
-3877.150643,641,153.493735
-1456.586854,446,153.958012
-2582.19992,451,154.393053
-2107.061235,520,154.925655
-213.095707,169,155.139429
-154.514969,358,155.499934
-111.436445,244,155.707997
-258.972022,238,155.961244
-1071.096003,348,156.342625
-361.013707,165,156.507285
-37.282501,113,156.637491
-16503.694953,644,157.301642
-389.483422,637,157.931173
-2239.827357,474,158.434679
-3425.603321,1026,159.521271
74.768638,172,159.689986
45.093787,237,159.919085
-469.930861,185,160.122167
-8717.526126,558,160.705014
-3653.984533,624,161.360938
-9032.99387,725,162.098049
-1495.069847,1267,163.398188
-9575.011828,647,164.056047
-60.726838,35,164.122362
-142.628436,151,164.277588
-2984.23796,586,164.854882
-23228.651461,728,165.601128
-14119.00144,684,166.306207
-4352.323315,580,166.898912
58.836973,131,167.034654
-359.720001,249,167.281132
-1327.714061,299,167.60785
-4240.576677,556,168.18793
-6524.983915,898,169.108417
-845.950548,315,169.423298
-354.202164,241,169.701619
-4349.449291,647,170.354805
-2363.076002,1624,172.085086
-3129.980702,468,172.556501
-20611.000445,711,173.293524
-145.106912,393,173.703173
-946.400872,185,173.913731
80.304437,85,173.974382
-3075.267299,575,174.567994
-193.981034,247,174.831758
-6481.645843,550,175.388914
-42.930591,122,175.51442
-3610.58014,584,176.105743
-7732.335068,558,176.689102
-5288.101323,565,177.252252
-1962.23646,941,178.250031
-5088.666335,599,178.855819
-422.24804,145,178.998871
-2298.860217,647,179.658168
-6917.761897,693,180.38972
-913.691813,238,180.631282
-2442.989165,543,181.171008
-3543.009394,884,182.066577
-268.918769,352,182.446907
-613.894586,220,182.649017
-5559.78503,570,183.263689
-2793.002041,543,183.783711
-113.4738,163,183.950993
-2373.405918,344,184.326111
-618.834014,163,184.487717
-84.408262,139,184.624335
-232.557575,44,184.697665
-927.184155,601,185.306382
-2670.262488,602,185.949045
-788.12006,601,186.582137
-853.143269,322,186.89196
-38.502966,100,187.007674
-1956.620194,431,187.446772
-1232.038804,252,187.703777
-736.39944,108,187.82319
-1142.100071,394,188.237371
-2910.11105,459,188.709194
-710.74619,440,189.160097
-3419.874516,994,190.184954
-3099.146098,597,190.811394
-5305.685775,771,191.632082
-95.961859,197,191.824605
-2025.887468,620,192.474621
-61.039341,181,192.685359
-246.331474,470,193.143639
-1176.572167,331,193.504972
-115.299106,143,193.63571
-421.968391,234,193.856787
-699.695532,263,194.118305
-309.188484,196,194.317125
-1228.2685,310,194.658864
71.728253,94,194.772255
-249.46319,271,195.051244
-336.070185,661,195.728107
-991.973131,259,195.974303
-2296.034847,480,196.468634
-522.114887,338,196.770159
74.880608,75,196.86428
44.246958,20,196.880547
-1.012387,111,196.997785
-39.370365,89,197.08914
-2032.968801,651,197.754234
-567.51491,542,198.331168
-3407.795586,595,199.009182
-166.346275,216,199.209289
-220.60269,179,199.414428
-54.537418,76,199.482517
-1719.50546,457,199.950734
-1807.007293,499,200.463849
-2205.517235,431,200.913192
-1898.276217,498,201.442432
-1556.947366,475,201.961062
-1135.220946,320,202.278277
-154.318624,172,202.445132
100.0,1,202.447729
-1775.229264,401,202.900571
-1103.991173,394,203.306155
-1446.19254,344,203.659991
-644.867266,225,203.899437
-7232.280019,550,204.458831
-2127.000022,1091,205.590072
-1171.341137,544,206.151507
-4438.059369,592,206.812365
-939.127673,827,207.647187
-629.368084,1033,208.690747
-442.671017,418,209.155889
-1265.615312,413,209.569463
-695.857966,1027,210.654596
-3168.824564,634,211.308141
-882.77588,387,211.711576
-1563.219219,452,212.174891
-1727.443434,185,212.388004
-51.682986,172,212.553665
-1897.95686,376,212.927575
-992.371923,509,213.475734
-1787.423765,519,213.989583
-3610.282598,558,214.546471
-422.551603,336,214.902523
-6526.091964,1675,216.637289
-1120.156127,343,216.991973
-190.15165,366,217.389716
-923.035264,372,217.737227
-5192.81735,467,218.211211
-2152.009393,371,218.595634
-466.060577,210,218.810824
-34.403717,178,218.975002
-2591.749098,329,219.344253
-295.741145,115,219.471781
-14.719369,133,219.610241
-662.304834,196,219.785464
84.083032,57,219.86572
54.202537,155,220.004035
-1328.355459,276,220.313323
0.825522,114,220.444526
-2120.618364,289,220.707171
-1481.021331,454,221.1732
-112.953757,259,221.455116
-1288.716195,330,221.780295
-1256.744546,338,222.137774
-231.56965,72,222.224028
-1491.222875,427,222.664213
-886.507372,191,222.848309
-2926.787747,527,223.441483
-1300.029362,241,223.651615
-1802.788015,295,223.976884
-593.99563,321,224.290384
-389.033275,121,224.434242
-776.547534,374,224.829556
-571.151711,330,225.197489
-1376.394931,420,225.627815
-276.799685,223,225.876168
-539.035504,136,226.017771
-103.865886,357,226.378616
-3193.232439,267,226.663828
-3197.167083,547,227.199505
-336.825641,133,227.338126
-1364.838461,350,227.732224
-176.219682,159,227.887645
-76.126738,363,228.2687
-140.922051,37,228.298575
-1277.852359,377,228.69136
-851.181332,354,229.064592
-747.278562,604,229.658611
-4433.146344,436,230.098666
-78.047038,307,230.394931
-946.039496,482,230.898793
-1843.627571,425,231.313817
-725.474519,382,231.736583
-299.500582,130,231.868712
-770.271261,352,232.222173
-1077.25247,277,232.498934
83.924972,77,232.600942
-193.407532,334,232.920995
-758.542253,241,233.164138
-364.241453,204,233.378596
-1222.603281,274,233.655622
-1661.907682,641,234.272704
-87.046143,189,234.479432
-441.598949,108,234.561421
-262.612745,108,234.692516
3.252608,132,234.824988
-2291.452905,831,235.716722
-1361.374427,481,236.213582
-2621.026041,579,236.733787
-1030.687749,382,237.087816
-410.700894,363,237.45622
-2325.268732,508,237.987021
-859.386758,362,238.364815
-1041.818835,382,238.759327
-1743.580227,435,239.167713
-1566.129539,297,239.462259
-39.850044,206,239.697904
-753.368542,331,240.049992
-1068.061945,284,240.339345
-739.317808,222,240.576751
-3756.544323,572,241.178945
-2.061027,153,241.339468
-110.769056,286,241.621434
-258.294907,48,241.694268
-786.550566,142,241.845556
-1533.740621,180,242.018948
-20.318877,99,242.13319
-465.242115,483,242.645508
72.510606,103,242.763044
-65.555424,235,243.036461
-683.753413,329,243.348844
-2307.939367,652,244.045635
-2234.4777,534,244.584753
-861.423619,241,244.840415
-779.762972,473,245.359935
-1462.829782,273,245.625478
-98.91816,233,245.867575
69.420115,89,245.997846
-382.423819,181,246.164402
-28.082345,175,246.318664
-118.740599,124,246.43875
45.901971,21,246.493593
-584.984428,230,246.701849
-57.82134,114,246.828254
-387.669216,209,247.089947
-3374.007534,466,247.545141
-2154.433098,200,247.770622
-556.874884,675,248.461949
-159.987843,164,248.660424
-775.209511,336,248.976064
-86.125928,189,249.221916
-578.031132,211,249.420635
-3923.781114,590,250.021795
-5047.167733,617,250.686381
-2201.367212,340,251.023775
-443.476898,175,251.240982
-547.489898,141,251.387708
-267.595557,352,251.771617
-1950.702814,608,252.365723
-393.487839,196,252.576954
-1234.957947,213,252.805847
-2917.126542,329,253.110158
81.165616,81,253.209209
-1691.109528,390,253.587897
-165.55094,63,253.634257
-2454.741785,643,254.286431
78.477507,126,254.408526
-1196.384354,255,254.656322
-517.443165,360,255.059697
-1919.225302,478,255.569923
-1780.318701,240,255.811372
-1809.153265,856,256.656513
-479.015163,298,256.978155
-996.639997,274,257.261417
-361.435964,251,257.533292
-606.653575,103,257.646379
-672.832502,215,257.83481
-402.417987,437,258.318597
-816.373219,138,258.466888
-154.813723,199,258.652274
-827.416814,414,259.099981
-3420.04988,577,259.698554
-1182.890032,258,259.97605
-156.592734,466,260.460805
-343.037333,441,260.911254
-628.631917,94,261.024736
73.033254,95,261.133698
-3827.534531,631,261.783931
-352.269785,283,262.053494
-831.215559,289,262.346896
-640.949771,275,262.638325
-1178.857549,358,263.001428
-228.962722,220,263.243572
-107.347341,93,263.351887
-901.954732,372,263.711017
-574.415799,135,263.850482
-1433.283959,380,264.226817
-2038.282655,569,264.844856
-942.616086,137,264.974942
-1936.062549,394,265.369528
-3625.94031,561,265.953239
-1081.082749,372,266.350581
-148.704772,483,266.866426
-558.177341,155,267.020189
-614.188648,297,267.3536
-3308.008352,340,267.692512
-756.280518,328,268.062967
-112.822306,169,268.232132
-751.601506,265,268.501904
-79.937531,184,268.710095
-1943.455482,321,269.035194
-3833.498404,584,269.641905
-1217.517332,465,270.113526
-2314.466293,537,270.660136
-3984.699185,579,271.22463
-596.72842,97,271.338287
-924.915352,260,271.591399
-1303.661868,301,271.901356
-1554.967402,406,272.299411
-132.155436,402,272.745601
-4204.143681,529,273.27772
-1517.07353,316,273.573409
-4220.489847,503,274.104103
46.286631,197,274.318833
-633.587539,76,274.370264
81.339916,91,274.477252
-5070.215996,658,275.160805
-238.875824,513,275.66853
-2616.851876,419,276.101457
-581.891359,91,276.211442
73.711199,88,276.317437
-2641.223889,474,276.784456
-326.130877,376,277.183262
-1304.510392,424,277.6238
-688.939058,353,277.95979
-18.117988,27,278.025082
-1873.737519,1193,279.244885
-851.747799,161,279.413384
52.522685,19,279.430049
-697.960092,317,279.772169
-1546.27859,353,280.138793
-959.58851,292,280.435002
-1705.035556,482,280.940913
54.74632,19,280.958393
19.844095,123,281.086364
-329.313666,175,281.272454
-556.352685,250,281.527343
-323.13087,370,281.913131
-1596.064997,239,282.162754
-702.856912,1171,283.350198
-200.334098,245,283.603327
-2451.587156,538,284.125198
-171.521273,169,284.296492
